date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:18:36	95931/95931	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bce18ac-176bb%22	https://deanattali.com/js/jquery-1.11.2.min.js	deanattali.com/js/jquery-1.11.2.min.js	(from https://deanattali.com/)
04:18:38	92764/92764	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Oct%202018%2018:36:45%20GMT	https://deanattali.com/blog/htmlwidgets-tips/	deanattali.com/blog/htmlwidgets-tips/index.html	(from https://deanattali.com/)
04:18:38	35452/35452	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bce18ac-8a7c%22	https://deanattali.com/js/bootstrap.min.js	deanattali.com/js/bootstrap.min.js	(from https://deanattali.com/)
04:18:39	52812/52812	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Oct%202018%2018:36:45%20GMT	https://deanattali.com/blog/advanced-shiny-tips/	deanattali.com/blog/advanced-shiny-tips/index.html	(from https://deanattali.com/)
04:18:39	3677/3677	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bce18ac-e5d%22	https://deanattali.com/js/js.cookie.js	deanattali.com/js/js.cookie.js	(from https://deanattali.com/)
04:18:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:18:40%20GMT	http://deanattali.com/beautiful-jekyll/	deanattali.com/beautiful-jekyll/index.html	(from https://deanattali.com/)
04:18:40	81128/81128	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Oct%202018%2018:36:45%20GMT	https://deanattali.com/blog/visualize-git-commits-time/	deanattali.com/blog/visualize-git-commits-time/index.html	(from https://deanattali.com/)
04:18:41	5957/5957	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bce18ac-1745%22	https://deanattali.com/js/main.js	deanattali.com/js/main.js	(from https://deanattali.com/)
04:18:41	23438/23438	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Oct%202018%2018:36:45%20GMT	https://deanattali.com/page2/	deanattali.com/page2/index.html	(from https://deanattali.com/)
04:18:42	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225bce18ac-4e9f%22	https://deanattali.com/fonts/glyphicons-halflings-regular.eot	deanattali.com/fonts/glyphicons-halflings-regular.eot	(from https://deanattali.com/css/bootstrap.min.css)
04:18:43	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225bce18ac-4e9f%22	https://deanattali.com/fonts/glyphicons-halflings-regular.eot?	deanattali.com/fonts/glyphicons-halflings-regulard41d.eot	(from https://deanattali.com/css/bootstrap.min.css)
04:18:44	18028/18028	---M--	200	added ('OK')	font/woff2	etag:%225bce18ac-466c%22	https://deanattali.com/fonts/glyphicons-halflings-regular.woff2	deanattali.com/fonts/glyphicons-halflings-regular.woff2	(from https://deanattali.com/css/bootstrap.min.css)
04:18:46	23424/23424	---M--	200	added ('OK')	font/woff	etag:%225bce18ac-5b80%22	https://deanattali.com/fonts/glyphicons-halflings-regular.woff	deanattali.com/fonts/glyphicons-halflings-regular.woff	(from https://deanattali.com/css/bootstrap.min.css)
04:18:47	45404/45404	---MCZ	200	added ('OK')	font/ttf	etag:W/%225bce18ac-b15c%22	https://deanattali.com/fonts/glyphicons-halflings-regular.ttf	deanattali.com/fonts/glyphicons-halflings-regular.ttf	(from https://deanattali.com/css/bootstrap.min.css)
04:18:49	4202/4202	---MCZ	200	added ('OK')	text/css	etag:W/%225bce18ab-106a%22	https://deanattali.com/css/pygment_highlights.css	deanattali.com/css/pygment_highlights.css	(from https://deanattali.com/css/main.css)
04:18:49	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:18:49%20GMT	http://deanattali.com/robots.txt		(from https://deanattali.com/)
04:18:50	108738/108738	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225bce18ac-1a8c2%22	https://deanattali.com/fonts/glyphicons-halflings-regular.svg	deanattali.com/fonts/glyphicons-halflings-regular.svg	(from https://deanattali.com/css/bootstrap.min.css)
04:18:52	140494/140494	---M--	200	added ('OK')	image/png	etag:%225bce18ac-224ce%22	https://deanattali.com/img/blog/cranalerts/screenshot.PNG	deanattali.com/img/blog/cranalerts/screenshot.png	(from https://deanattali.com/blog/cranalerts/)
04:18:53	26403/26403	---M--	200	added ('OK')	image/png	etag:%225bce18ac-6723%22	https://deanattali.com/img/blog/cranalerts/automation.png	deanattali.com/img/blog/cranalerts/automation.png	(from https://deanattali.com/blog/cranalerts/)
04:18:54	14442/14442	---M--	200	added ('OK')	image/png	etag:%225bce18ac-386a%22	https://deanattali.com/img/blog/cranalerts/nocss.PNG	deanattali.com/img/blog/cranalerts/nocss.png	(from https://deanattali.com/blog/cranalerts/)
04:18:55	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:18:55%20GMT	https://deanattali.com/contact	deanattali.com/contact	(from https://deanattali.com/blog/cranalerts/)
04:18:56	10585/10585	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Oct%202018%2018:36:45%20GMT	https://deanattali.com/contact/	deanattali.com/contact/index.html	(from https://deanattali.com/blog/cranalerts/)
04:18:56	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:18:56%20GMT	https://deanattali.com/contact	deanattali.com/contact	(from https://deanattali.com/blog/cranalerts/)
04:18:57	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:18:57%20GMT	https://deanattali.com/contact	deanattali.com/contact	(from https://deanattali.com/blog/mutate-non-vectorized/)
04:18:58	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:18:58%20GMT	https://deanattali.com/contact	deanattali.com/contact	(from https://deanattali.com/blog/mutate-non-vectorized/)
04:18:58	10153/10153	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Nov%202018%2002:18:58%20GMT	https://deanattali.com/blog/cranalerts/projects/	deanattali.com/blog/cranalerts/projects/index.html	(from https://deanattali.com/blog/cranalerts/)
04:19:00	10153/10153	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Nov%202018%2002:19:00%20GMT	https://deanattali.com/blog/mutate-non-vectorized/projects/	deanattali.com/blog/mutate-non-vectorized/projects/index.html	(from https://deanattali.com/blog/mutate-non-vectorized/)
04:19:01	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:19:01%20GMT	https://deanattali.com/contact	deanattali.com/contact	(from https://deanattali.com/blog/shiny-use-cases-datacamp-course/)
04:19:01	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:19:01%20GMT	https://deanattali.com/contact	deanattali.com/contact	(from https://deanattali.com/blog/shiny-use-cases-datacamp-course/)
04:19:02	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:19:02%20GMT	https://deanattali.com/contact	deanattali.com/contact	(from https://deanattali.com/blog/shinyalert-package/)
04:19:02	222431/222431	---M--	200	added ('OK')	image/png	etag:%225bce18ac-364df%22	https://deanattali.com/img/blog/datacamp-shiny-case-studies-logo.png	deanattali.com/img/blog/datacamp-shiny-case-studies-logo.png	(from https://deanattali.com/blog/shiny-use-cases-datacamp-course/)
04:19:03	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:19:03%20GMT	https://deanattali.com/contact	deanattali.com/contact	(from https://deanattali.com/blog/shinyalert-package/)
04:19:03	10153/10153	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Nov%202018%2002:19:02%20GMT	https://deanattali.com/blog/shiny-use-cases-datacamp-course/projects/	deanattali.com/blog/shiny-use-cases-datacamp-course/projects/index.html	(from https://deanattali.com/blog/shiny-use-cases-datacamp-course/)
04:19:04	10153/10153	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Nov%202018%2002:19:04%20GMT	https://deanattali.com/blog/shinyalert-package/projects/	deanattali.com/blog/shinyalert-package/projects/index.html	(from https://deanattali.com/blog/shinyalert-package/)
04:19:05	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:19:05%20GMT	https://deanattali.com/contact	deanattali.com/contact	(from https://deanattali.com/blog/colourpicker-update-alpha/)
04:19:05	21406/21406	---M--	200	added ('OK')	image/png	etag:%225bce18ac-539e%22	https://deanattali.com/img/blog/colourpicker-update-alpha/colourinputnew.PNG	deanattali.com/img/blog/colourpicker-update-alpha/colourinputnew.png	(from https://deanattali.com/blog/colourpicker-update-alpha/)
04:19:06	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:19:06%20GMT	https://deanattali.com/contact	deanattali.com/contact	(from https://deanattali.com/blog/colourpicker-update-alpha/)
04:19:08	10153/10153	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Nov%202018%2002:19:08%20GMT	https://deanattali.com/blog/colourpicker-update-alpha/projects/	deanattali.com/blog/colourpicker-update-alpha/projects/index.html	(from https://deanattali.com/blog/colourpicker-update-alpha/)
04:19:09	324688/324688	---M--	200	added ('OK')	image/png	etag:%225bce18ac-4f450%22	https://deanattali.com/img/blog/user2017/user2017.png	deanattali.com/img/blog/user2017/user2017.png	(from https://deanattali.com/blog/user2017/)
04:19:11	199048/199048	---M--	200	added ('OK')	image/png	etag:%225bce18ac-30988%22	https://deanattali.com/img/blog/user2017/sched.PNG	deanattali.com/img/blog/user2017/sched.png	(from https://deanattali.com/blog/user2017/)
04:19:12	140966/140966	---M--	200	added ('OK')	image/png	etag:%225bce18ac-226a6%22	https://deanattali.com/img/blog/user2017/scheddetails.PNG	deanattali.com/img/blog/user2017/scheddetails.png	(from https://deanattali.com/blog/user2017/)
04:19:14	13074/13074	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Oct%202018%2018:36:45%20GMT	https://deanattali.com/colourpicker-user2017/	deanattali.com/colourpicker-user2017/index.html	(from https://deanattali.com/blog/user2017/)
04:19:14	30388/30388	---M--	200	added ('OK')	image/png	etag:%225bce18ac-76b4%22	https://deanattali.com/img/blog/user2017/type_vs_attendance.png	deanattali.com/img/blog/user2017/type_vs_attendance.png	(from https://deanattali.com/blog/user2017/)
04:19:15	29931/29931	---M--	200	added ('OK')	image/png	etag:%225bce18ac-74eb%22	https://deanattali.com/img/blog/user2017/time_vs_attendance.png	deanattali.com/img/blog/user2017/time_vs_attendance.png	(from https://deanattali.com/blog/user2017/)
04:19:17	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:19:16%20GMT	https://deanattali.com/contact	deanattali.com/contact	(from https://deanattali.com/blog/user2017/)
04:19:17	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:19:17%20GMT	https://deanattali.com/contact	deanattali.com/contact	(from https://deanattali.com/blog/user2017/)
04:19:17	33341/33341	---M--	200	added ('OK')	image/png	etag:%225bce18ac-823d%22	https://deanattali.com/img/blog/user2017/type_vs_attendance_ratio_by_room.png	deanattali.com/img/blog/user2017/type_vs_attendance_ratio_by_room.png	(from https://deanattali.com/blog/user2017/)
04:19:18	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:19:18%20GMT	https://deanattali.com/contact	deanattali.com/contact	(from https://deanattali.com/blog/plot-colour-helper/)
04:19:19	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:19:19%20GMT	https://deanattali.com/contact	deanattali.com/contact	(from https://deanattali.com/blog/plot-colour-helper/)
04:19:19	10153/10153	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Nov%202018%2002:19:19%20GMT	https://deanattali.com/blog/user2017/projects/	deanattali.com/blog/user2017/projects/index.html	(from https://deanattali.com/blog/user2017/)
04:19:20	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:19:20%20GMT	https://deanattali.com/contact	deanattali.com/contact	(from https://deanattali.com/blog/htmlwidgets-tips/)
04:19:21	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:19:21%20GMT	https://deanattali.com/contact	deanattali.com/contact	(from https://deanattali.com/blog/htmlwidgets-tips/)
04:19:21	10153/10153	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Nov%202018%2002:19:21%20GMT	https://deanattali.com/blog/plot-colour-helper/projects/	deanattali.com/blog/plot-colour-helper/projects/index.html	(from https://deanattali.com/blog/plot-colour-helper/)
04:19:22	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:19:22%20GMT	https://deanattali.com/contact	deanattali.com/contact	(from https://deanattali.com/blog/htmlwidgets-tips/)
